UserTags,TimeStamps,Tweets,Replys,reTweets,Likes
"Elon Musk
@elonmusk
·
Dec 12",2022-12-12T19:36:52.000Z,"Under pressure from hundreds of activist employees, Twitter deplatforms Trump, a sitting US President, even though they themselves acknowledge that he didn’t violate the rules:",22.7K,69.8K,299.6K
"Elon Musk
@elonmusk
·
11h",2022-12-13T07:54:49.000Z,The ratio of digital to biological compute is growing exponentially,11.4K,10.9K,151.1K
"Elon Musk
@elonmusk
·
18h",2022-12-13T01:15:20.000Z,Follow ,37.6K,40.1K,381.8K
"Elon Musk
@elonmusk
·
Dec 12",2022-12-12T19:46:04.000Z,,30.3K,64K,708.8K
"Elon Musk
@elonmusk
·
Dec 12",2022-12-12T14:21:31.000Z,The Branch Covidians are upset lol,36K,56.3K,483.4K
"Elon Musk
@elonmusk
·
Dec 12",2022-12-12T12:25:32.000Z,The woke mind virus is either defeated or nothing else matters,54.5K,99.6K,632.2K
"Elon Musk
@elonmusk
·
Dec 12",2022-12-12T11:24:29.000Z,Truth resonates …,"7,607",14K,188K
"Elon Musk
@elonmusk
·
Dec 11",2022-12-11T20:07:59.000Z,"Cool, the bots are so far unable to swarm to the top of my replies!","9,252",12.1K,192.5K
"Tesla
@Tesla
·
Dec 9",2022-12-09T18:43:54.000Z,"40 Megapack units balance the grid in Lessines, Belgium—making it the biggest operational energy storage system in continental Europe","2,068","3,263",30.1K
"Elon Musk
@elonmusk
·
Dec 9",2022-12-09T18:43:56.000Z,"Good for 
@SenatorSinema
! I hope more of our elected leaders act independently, aka in the interests of the people.",12.1K,22.2K,207.4K
"Elon Musk
@elonmusk
·
Dec 9",2022-12-09T08:00:28.000Z,These are obvious account deletions with no tweets & no log in for years,"8,194",12.9K,185.1K
"Elon Musk
@elonmusk
·
Dec 9",2022-12-09T07:58:55.000Z,Twitter will soon start freeing the name space of 1.5 billion accounts,16.7K,42K,401K
"Elon Musk
@elonmusk
·
Dec 8",2022-12-09T05:13:42.000Z,Congrats on Game of Year!,"4,202",18.1K,233.3K
"Elon Musk
@elonmusk
·
Dec 8",2022-12-09T04:24:22.000Z,Truth brings reconciliation,24.2K,42.4K,364.6K
"Elon Musk
@elonmusk
·
Dec 8",2022-12-09T02:32:43.000Z,"Twitter is working on a software update that will show your true account status, so you know clearly if you’ve been shadowbanned, the reason why and how to appeal",26.3K,73.7K,524.5K
"Elon Musk
@elonmusk
·
Dec 8",2022-12-09T01:05:14.000Z,"The Twitter Files, Part Deux!! ",13.3K,43.8K,215.9K
"SpaceX
@SpaceX
·
Dec 8",2022-12-08T22:38:13.000Z,Falcon 9's first stage has landed,"2,232","6,439",52.6K
"SpaceX
@SpaceX
·
Dec 8",2022-12-08T22:34:17.000Z,Stage separation,696,"3,312",31.1K
"SpaceX
@SpaceX
·
Dec 8",2022-12-08T22:28:28.000Z,Liftoff!,932,"4,310",39.7K
"前澤友作@MZDAO
@yousuck2020
·
Dec 8",2022-12-08T22:17:44.000Z,"月旅行のクルーが決まりました！
Crew for Moon Trip Selected!!
#dearMoonCrew 
@dearmoonproject","1,600","7,557",34.2K
"SpaceX
@SpaceX
·
Dec 8",2022-12-08T20:38:42.000Z,"Starlink started providing high-speed, low-latency internet to passengers during flights on the first 
@flyjsx
 jet this week!","1,116","3,917",37.6K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-03T02:19:07.000Z,Tune in for Episode 2 of The Twitter Files tomorrow!,38.1K,73.2K,647.8K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T23:44:15.000Z,Here we go!! ,26.8K,99.9K,410.2K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T22:21:25.000Z,"We’re double-checking some facts, so probably start live tweeting in about 40 mins",34.9K,31.5K,275.8K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T20:48:55.000Z,This will be awesome ,"6,518",15.7K,239K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T20:39:24.000Z,What really happened with the Hunter Biden story suppression by Twitter will be published on Twitter at 5pm ET!,57.1K,123.7K,727.7K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T20:08:44.000Z,Please screenshot examples that Twitter needs to fix,23.1K,"9,060",109.1K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T20:07:37.000Z,Not counting those behind the “see more replies” aka probable spam button,"2,116","2,216",37.2K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T20:06:20.000Z,"Major Twitter system improvements were implemented this week to drop hammer hard on spam/scam accounts.

Taking just past 24 hours, does it seem like there are far fewer?",12.5K,10.2K,70.9K
"Elon Musk
@elonmusk
·
Dec 2",2022-12-02T19:46:45.000Z,"Twitter is now serving almost 90 billion tweet impressions per day!

Just how incredibly alive the system actually is will become obvious as we show view count on all tweets.","9,456",20.7K,241.2K
